time,transcript
00:10," THE ""THE HYUNDAI KICKOFF"
00:14," THE ""THE HYUNDAI KICKOFF SHOW"" IS PRESENTED BY THE NEW"
00:16,"SHOW"" IS PRESENTED BY THE NEW HYUNDAI ELANTRA."
00:19,"HYUNDAI ELANTRA.  LADIES AND GENTLEMEN, PLEASE"
00:21," LADIES AND GENTLEMEN, PLEASE WELCOME THE CAPTAINS FOR THE"
00:23,WELCOME THE CAPTAINS FOR THE CAROLINA PANTHERS AND THE
00:25,CAROLINA PANTHERS AND THE DENVER BRONCOS.
00:28,DENVER BRONCOS. AND COIN TOSS PARTICIPANTS.
00:30,"AND COIN TOSS PARTICIPANTS. HONORARY CAPTAINS, YOUR BAY"
00:33,"HONORARY CAPTAINS, YOUR BAY AREA SUPER BOWL M.V.P.'S."
00:35,"AREA SUPER BOWL M.V.P.'S. FROM THE RAIDERS, FRED"
00:40,"FROM THE RAIDERS, FRED BILETNIKOFF, JIM PLUNKETT AND"
00:45,"BILETNIKOFF, JIM PLUNKETT AND MARCUS ALLEN."
00:47,"MARCUS ALLEN. FROM THE 49ERS, STEVE YOUNG,"
00:52,"FROM THE 49ERS, STEVE YOUNG, JERRY RICE AND JOE MONTANA."
01:00,JERRY RICE AND JOE MONTANA. AND NOW REFEREE CLETE BLAKEMAN.
01:07,"AND NOW REFEREE CLETE BLAKEMAN. REFEREE: GOOD AFTERNOON,"
01:08,"REFEREE: GOOD AFTERNOON, GENTLEMEN."
01:09,GENTLEMEN. WELCOME TO SUPER BOWL 50.
01:11,"WELCOME TO SUPER BOWL 50. CONGRATULATIONS TO YOU,"
01:12,"CONGRATULATIONS TO YOU, CAROLINA."
01:13,"CAROLINA. CONGRATULATIONS TO YOU, DENVER."
01:14,"CONGRATULATIONS TO YOU, DENVER. ASSISTING ME TODAY WILL BE NONE"
01:15,ASSISTING ME TODAY WILL BE NONE OTHER THAN SUPER BOWL M.V.P.
01:17,OTHER THAN SUPER BOWL M.V.P. JOE MONTANA.
01:20,JOE MONTANA. TODAY'S COIN ON THE GOLD SIDE
01:22,"TODAY'S COIN ON THE GOLD SIDE IS HEAD, THE SILVER SIDE IS"
01:24,"IS HEAD, THE SILVER SIDE IS TAILS."
01:25,"TAILS. THE GOLD SIDE IS HEADS, THE"
01:27,"THE GOLD SIDE IS HEADS, THE SILVER SIDE IS TAILS."
01:29,"SILVER SIDE IS TAILS. CAROLINA, YOU'RE VISITING TEAM."
01:31,"CAROLINA, YOU'RE VISITING TEAM. YOUR CALL."
01:32,YOUR CALL.  TAILS.
01:34, TAILS. REFEREE: TAILS IS THE CALL.
01:36,"REFEREE: TAILS IS THE CALL. JOE, DO US A FAVOR."
01:37,"JOE, DO US A FAVOR. TAILS IS THE CALL."
01:38,TAILS IS THE CALL. IT IS TAILS.
01:39,IT IS TAILS. CAROLINA WINS THE TOSS.
01:41,CAROLINA WINS THE TOSS. DEFER.
01:42,DEFER. WHICH WAY DO YOU WANT TO KICK?
01:44,WHICH WAY DO YOU WANT TO KICK?  KICK THAT WAY.
01:46, KICK THAT WAY. REFEREE: CAROLINA WINS THE
01:48,REFEREE: CAROLINA WINS THE TOSS.
01:49,TOSS. DEFER TO SECOND HALF.
01:50,DEFER TO SECOND HALF. DENVER WILL RECEIVE.
01:51,"DENVER WILL RECEIVE. GOOD LUCK, GENTLEMEN."
01:55,"GOOD LUCK, GENTLEMEN. JIM: SO PEYTON AND THE BRONCOS"
01:57,JIM: SO PEYTON AND THE BRONCOS WILL HAVE THE FOOTBALL FIRST
01:59,WILL HAVE THE FOOTBALL FIRST AND SUPER BOWL 50 KICKS OFF
02:01,AND SUPER BOWL 50 KICKS OFF WHEN WE RETURN HERE ON CBS.
02:04,"WHEN WE RETURN HERE ON CBS.  THANKS FOR QUCHING ""THE"
02:06," THANKS FOR QUCHING ""THE HYUNDAI KICKOFF SHOW"" PRESENTED"
02:08,"HYUNDAI KICKOFF SHOW"" PRESENTED BY THE 2016 HYUNDAI GENESIS,"
02:15,"BY THE 2016 HYUNDAI GENESIS,  WHAT SEPARATES THE STARS"
02:16, WHAT SEPARATES THE STARS FROM THE SUPERSTARS OF THE GUYS
02:17,FROM THE SUPERSTARS OF THE GUYS WHO CONTINUOUSLY AND
02:18,WHO CONTINUOUSLY AND SUCCESSFULLY WIN.
02:20,SUCCESSFULLY WIN.  CAROLINA HAS BEEN VERY
02:21, CAROLINA HAS BEEN VERY EXCEPTIONAL.
02:22,EXCEPTIONAL. CAM NEWTON HAS BEEN
02:23,CAM NEWTON HAS BEEN UNBELIEVABLE.
02:24,UNBELIEVABLE.  CAM IS SUCH A DYNAMIC
02:25, CAM IS SUCH A DYNAMIC PLAYER.
02:26,PLAYER.  THAT'S OUR QUARTERBACK.
02:27, THAT'S OUR QUARTERBACK. THE GUY LEADING THE CHARGE.
02:28,THE GUY LEADING THE CHARGE.  PEYTON WILL PULL EVERY
02:30, PEYTON WILL PULL EVERY TRICK.
02:31,TRICK.  PEYTON HAS A LOT OF SUCCESS.
02:33, PEYTON HAS A LOT OF SUCCESS.  IT'S VERY SPECIAL ON WHAT
02:36, IT'S VERY SPECIAL ON WHAT HE'S DONE AND ACCOMPLISHED AND
02:38,HE'S DONE AND ACCOMPLISHED AND THAT'S WHAT MAKES HIM THE GREAT
02:39,THAT'S WHAT MAKES HIM THE GREAT ONE.
02:40,ONE. JIM: WELCOME BACK TO LEVI'S
02:42,JIM: WELCOME BACK TO LEVI'S STADIUM AND SUPER BOWL 50.
02:43,"STADIUM AND SUPER BOWL 50. JIM NANTZ, PHIL SIMMS, CBS."
02:46,"JIM NANTZ, PHIL SIMMS, CBS. WE WERE THERE FOR THE FIRST AND"
02:48,WE WERE THERE FOR THE FIRST AND HONORED TO BE HERE FOR THE
02:50,HONORED TO BE HERE FOR THE 50TH.
02:51,50TH. GETTING A GOOD START FOR DENVER
02:53,GETTING A GOOD START FOR DENVER BECAUSE CAROLINA HAS BEEN SO
02:55,BECAUSE CAROLINA HAS BEEN SO EXPLOSIVE IN THESE PLAYOFFS
02:56,EXPLOSIVE IN THESE PLAYOFFS EARLY.
02:57,"EARLY. PHIL: WELL, I'LL JUST SAY THIS."
02:59,"PHIL: WELL, I'LL JUST SAY THIS. FOR THE DENVER BRONCOS, GARY"
03:00,"FOR THE DENVER BRONCOS, GARY KUBIAK CALLING PLAYS FOR THAT"
03:02,KUBIAK CALLING PLAYS FOR THAT OFFENSE LIKES TO GET OFF TO
03:03,OFFENSE LIKES TO GET OFF TO QUICK STARTS TOO.
03:04,QUICK STARTS TOO. SO DON'T OVERPLAY ON THE
03:06,SO DON'T OVERPLAY ON THE DEFENSIVE SIDE IF YOU'RE THE
03:07,DEFENSIVE SIDE IF YOU'RE THE CAROLINA PANTHERS.
03:08,"CAROLINA PANTHERS. JIM: WELL, THE WEATHER, IT'S"
03:10,"JIM: WELL, THE WEATHER, IT'S BEAUTIFUL."
03:11,"BEAUTIFUL. IT'S 76, BUT THERE ARE BREEZES."
03:14,"IT'S 76, BUT THERE ARE BREEZES. AS YOU CAN PAINT THE SKY A"
03:16,AS YOU CAN PAINT THE SKY A BRILLIANT BLUE HERE.
03:19,"BRILLIANT BLUE HERE. FOR THIS MILESTONE 50TH, THIS"
03:21,"FOR THIS MILESTONE 50TH, THIS GAME IS BROUGHT TO YOU IN"
03:22,GAME IS BROUGHT TO YOU IN SPANISH WHERE AVAILABLE USING
03:24,SPANISH WHERE AVAILABLE USING THE S.A.P. BUTTON ON YOUR
03:25,THE S.A.P. BUTTON ON YOUR TELEVISION.
03:29,TELEVISION. GRAHAM WILL BE KICKING TO ANDRE
03:33,GRAHAM WILL BE KICKING TO ANDRE CALDWELL.
