time,transcript
00:00,you know the matchup by now for Super
00:02,Bowl 50 won the New England Patriots and
00:05,the Atlanta Falcons bought you to kick
00:07,it away
00:08,[Music]
00:10,Danny with us
00:20,and now it's time to play football the
00:22,three times Super Bowl MVP Tom Brady who
00:25,has virtually every record for a
00:27,quarterback during Superbowl play is out
00:31,guiding this offense
00:33,you think he's fired up usually is on
00:36,the sideline he's got a record of four
00:38,and two
00:40,he plays in his seventh and he's already
00:43,pump on the fist and yelling on the
00:45,sideline before this Super Bowl start
00:48,my nickman here we go starting from the
00:51,25
01:03,starting with a flower the pass in
01:06,control
01:07,for Edelman and he got popped
01:11,last guy to hit him was Devon drake
01:13,campbell the rookie line up linebacker
01:15,and we'll give you the lineups and we'll
01:17,give you a look at the skilled players
01:19,we'll see kind of a three-headed monster
01:22,at the running back position for the new
01:24,Patriots
01:27,that upfront a much-improved offensive
01:29,line with the
01:30,Andrews in the middle of sinner improved
01:33,from the year ago second
01:35,[Applause]
01:47,find gentlemen
01:49,knocked down short of the first down he
01:51,gets nine brought down by Philip wheeler
01:53,third down and one coming up you see Tom
01:57,Brady he's able to slide in the pocket
01:59,certainly one of the big keys for this
02:01,Atlanta Falcons defenses will they be
02:03,able to get pressure on Tom Brady he
02:06,slides and maneuvers within the pocket
02:08,as well as anybody not a threat as a
02:11,runner
02:12,[Applause]
02:17,Jones a whoopie linebacker is in there
02:20,to make the step for Atlanta and it's
02:22,three and out to start the game for the
02:24,Patriots
02:26,well Dion Jones number 45 right in the
02:29,middle he has really come on strong here
02:32,at the end of this season he's able to
02:33,shoot the gap he makes a play on
02:35,LeGarrette Blount that is a great start
02:38,for this young defensive unit to get off
02:40,the field with a three now
02:42,[Applause]
02:47,we've a veteran waiting deep there has
02:50,never been a punt return for a touchdown
02:52,in Super Bowl history
02:54,[Applause]
02:59,has never been the punt return for a
03:01,touchdown in Super Bowl history and
03:03,flags are down Nate Abner it was an
03:06,Olympian on the rugby team down there to
03:09,make the stop after a 10-yard return
