time,transcript
0:00,two weeks of hype and as the great John
00:02,Madden used to say it's time for a game
00:05,to break out and not soon enough
00:08,New England kicking off they won the
00:12,toss they have deferred so we'll see the
00:15,Philadelphia offense
00:16,you've got Warner and Clement back deep
00:21,Tom Brady over on the sideline Foles
00:25,will go right to work after the kickoff
00:32,in Minnesota here we go on a line drive
00:34,kick fielded by Clement at the one-yard
00:37,line to the outside he goes and he gets
00:41,run on the bounds by Patrick Shug up at
00:44,the 25-yard line
00:46,what a story for Nick Falls what have
00:48,you been reading about it hearing about
00:50,it over the last month or so took over
00:51,when Carson Wentz got hurt
00:53,what an odyssey but during the
00:55,postseason he has been tremendous
00:57,started his career with Philadelphia
00:59,went to the Rams after his release spent
01:02,last year as the backup to Alex Smith
01:05,and Kansas City and then came here
01:10,LeGarrette Blount starts in the
01:13,backfield they have three good running
01:15,backs
01:17,Burt's repositions and sets up on the
01:19,slot to the right they go right to the
01:21,air and the pass is caught by Nelson
01:24,galore bringing a file up to the 30-yard
01:26,line tackle their bike I love van Noy
01:29,just a little zone defense to start
01:32,things off for a galore and I love what
01:36,Doug Peterson did instead of coming out
01:39,and being cautious letting Nick Foles
01:42,come out and just get settled with a run
01:44,play come out throw it right away
01:46,get him in the game Matt Patricia who
01:48,will be named head coach of the Detroit
01:50,Lions in a couple of days was on the
01:52,left
01:53,Blount is the back and again a passive
01:55,here is caught by angle or falls into
01:58,the championship game by completing his
02:02,last 15 in a row so that 17th straight
02:05,yeah and you know he seems so confident
02:09,in the AL it did not seem too big he
02:12,played great in the championship game
02:14,I thought his vision has focused down
02:17,the field some of the scrambles in the
02:19,pocket were tremendous and you can look
02:22,at that during the regular season not
02:24,very good in postseason tremendous
02:27,postseason the two games against
02:30,Atlanta and Minnesota from the 32 third
02:33,down and four
02:38,Bulls flush that keeps his eyes
02:41,downfield and completes it to ask John
02:43,Jeffery first you were the Eagles came
02:45,over from the Bears and Philadelphia
02:47,with the game's first first down now
02:52,Sean Jeffrey who's been coming up big is
02:55,going to come in Luke back out here and
