time,transcript
00:00, ARIZONA IS THE GRAND CANYON
00:00,STATE.
00:00,BEAUTIFUL LOOK AT GRAND CANYON
00:00,NATIONAL PARK.
00:02,COUPLE OF HOURS' DRIVE NORTH OF
00:04,THE GREATER PHOENIX AREA.
00:06,JUST A SPECTACULAR SUNDAY
00:08,AFTERNOON.
00:09,AND NOW A LOOK AT THE UNIVERSITY
00:11,"OF PHOENIX STADIUM, WHICH OPENED"
00:12,IN 2006 AND IS THE HOME OF THE
00:14,ARIZONA CARDINALS.
00:15,BILL BELICHICK WEARING HIS
00:17,FAVORITE HOODIE.
00:19,THAT NO. 2 PENCIL WILL GO
00:20,INTO HIS EAR SHORTLY.
00:22,STEVEN HAUSCHKA WILL BE KICKING
00:23,OFF FOR THE SEATTLE SEAHAWKS.
00:26,AND NEW ENGLAND WILL START ON
00:28,"OFFENSE, AS BACK TO RECEIVE THE"
00:30,KICK IS DANNY AMENDOLA.
00:35,THE GAME IS A TOSS-UP.
00:37,BOTH TEAMS ARE TERRIFIC.
00:38,PETE CARROLL ALWAYS ENJOYING THE
00:41,MOMENT.
00:41,"MARSHAWN LYNCH, WHAT KIND OF A"
00:43,DAY WILL HE HAVE?
00:43,BUT HE'S GONNA START WITH
00:45,SKITTLES.
00:47,SO NOTHING ELSE IS NEW.
00:49, [ CHUCKLES ]
00:50, MIGHT AS WELL JUST BE A
00:52,PRESEASON GAME IN AUGUST FOR
00:54,HIM.
00:54,RICHARD SHERMAN READY TO GO TO
00:56,WORK.
00:57,INJURED HIS ELBOW.
00:58,"EARL THOMAS, THE DISLOCATED"
00:59,"SHOULDER, BUT BOTH WILL PLAY"
01:01,"TODAY, AS HAUSCHKA GETS READY TO"
01:03,KICK OFF.
01:07,SUPER BOWL XLIX UNDER WAY IN
01:10,"GLENDALE, ARIZONA."
01:12,WE'LL START WITH A RUNBACK BY
01:13,AMENDOLA FROM 5 YARDS DEEP.
01:16,AND TO THE 18-YARD LINE HE
01:18,"COMES, AND THAT'S WHERE"
01:19,NEW ENGLAND WILL SET UP SHOP.
01:24,TOM BRADY.
01:25,"HE SAID TO US YESTERDAY, AFTER"
01:27,WHAT'S BEEN GOING ON OVER THE
01:28,"LAST TWO WEEKS, HE SAID, ""THERE"
01:30,WOULD NOT BE A GAME I WOULD WANT
01:32,"TO WIN MORE THAN THIS ONE."""
01:35, NO SHORTAGE OF RED MEAT IN
01:37,"FRONT OF TOM BRADY FOR THIS ONE,"
01:39,IS THERE?
01:41, HE HAS SHANE VEREEN AS HIS
01:44,RUNNING BACK.
01:46,"MEANWHILE, NOW YOU'VE GOT"
01:48,GRONKOWSKI FLANKED WAY OUT TO
01:51,"THE RIGHT, NEAR THE SIDELINE."
01:55,SHERMAN ON HIM.
01:56,BRADY STARTS FROM THE SHOTGUN.
01:59,THAT'S EDELMAN IN SHORT MOTION.
02:02,AND THE FIRST PLAY IS A PASS TO
02:04,THE OUTSIDE.
02:05,"IT'S CAUGHT NEAR THE SIDELINE,"
02:07,BUT ONLY A MINIMAL GAIN NOW FOR
02:09,GRONKOWSKI.
02:09,BRUCE IRVIN MAKING THE TACKLE.
02:12,SECOND AND LONG.
02:14,"BRADY, SIXTH SUPER BOWL START."
02:17,HE'S THROWN 197 PASSES IN THOSE
02:19,GAMES.
02:20,"1,277 THROUGH THE AIR."
02:22,ALL SUPER BOWL RECORDS.
02:23,"THREE WINS, TWO LOSSES."
02:27,AND ONE OF THOSE LOSSES CAME
02:29,"HERE AFTER THE '07 SEASON, TO"
02:31,"SPOIL THE PERFECT SEASON, AS THE"
02:33,NEW YORK GIANTS DID THEM IN.
02:35,LeGARRETTE BLOUNT IS NOW IN THE
02:37,BACKFIELD.
02:38,SECOND DOWN AND 8.
02:42,THIS IS AMENDOLA COMING IN
02:43,MOTION.
02:44,SHORT DROP.
02:45,PASS CAUGHT ON THE OUTSIDE.
02:47,BREAKING A TACKLE AND COMING UP
02:49,ABOUT 2 YARDS SHY OF THE FIRST
02:50,"DOWN IS AMENDOLA, AS HE GETS"
02:52,AWAY FROM RICHARD SHERMAN.
02:54,AND THAT WILL SET UP A THIRD
02:56,DOWN AND 2 FOR THE PATRIOTS.
03:01," WELL, CLEARLY ONE OF THE"
03:02,THINGS WE TALKED ABOUT RIGHT OFF
03:04,"THE BAT IS, HOW CAN YOU HANDLE"
03:05,THESE PASS RUSHERS?
03:06,THAT'S ONE WAY.
03:07,GET THEM ON THE GROUND WITH SOME
03:09,QUICK THROWS.
03:10,AND THEN IT'S RICHARD SHERMAN ON
03:11,THE OUTSIDE.
03:12,WE HAVE TO KEEP AN EYE ON THAT
03:13,ELBOW.
03:14,WILL HE BE ABLE TO TACKLE?
03:15,WILL HE BE ABLE TO JAM THE
03:16,RECEIVERS THE WAY THAT HE
03:18,TYPICALLY CAN?
03:19," IN THAT GREEN BAY GAME, IT"
03:20,LOOKED LIKE HE WAS PLAYING WITH
03:22,AN INVISIBLE SLING.
03:25,THIRD AND 2.
03:27,BRADY.
03:27,"GOOD, CLEAN POCKET THROWS."
03:29,AND THAT'LL BE THE GAME'S FIRST
03:30,"FIRST DOWN, AS VEREEN --"
03:32,"SHANE VEREEN MAKES THE CATCH,"
03:33,AND HE'S TACKLED THERE BY THE
03:35,"OUTSIDE LINEBACKER, K.J. WRIGHT."
03:37, ONE OF THE THINGS THAT'S VERY
03:39,DIFFICULT WHEN YOU PLAY AGAINST
03:40,THE PATRIOTS -- IF YOU CLEAR
03:42,"ZONES, YOU HAVE TO HANDLE THE"
03:44,LIKES OF JULIAN EDELMAN AND
03:46,SHANE VEREEN WITH INSIDE
03:48,LINEBACKERS.
03:49,THEIR QUICKNESS VERY TOUGH TO
03:51,DEAL WITH.
03:51, NEW ENGLAND CAN BEAT YOU
03:53,EITHER WAY.
03:53,IN THE DIVISIONAL GAME AGAINST
03:55,"BALTIMORE, 53 PASSES, AND THEN"
03:56,40 RUNS AGAINST INDIANAPOLIS.
04:00,THIS IS BLOUNT.
04:03,THE SEAHAWKS EXPECT THEM TO BE
04:06,MORE BALANCED -- THE PATRIOTS --
04:07,TODAY.
04:08,SO HERE IS BLOUNT.
04:09,HE WAS A PATRIOT LAST YEAR.
04:10,HE SCORED FOUR TOUCHDOWNS IN A
04:12,PLAYOFF GAME AGAINST
04:13,INDIANAPOLIS.
04:13,THEN HE SIGNS WITH PITTSBURGH.
04:15,DOESN'T LIKE HIS ROLE THERE
04:16,BECAUSE Le'VEON BELL WAS CLEARLY
04:18,THE NUMBER-ONE BACK.
04:19,WALKS OFF THE FIELD BEFORE THE
04:21,"END OF A GAME IN NOVEMBER,"
04:22,"AND THEN WINDS UP SIGNING, AFTER"
04:25,"HE CLEARED WAIVERS, WITH"
04:27,NEW ENGLAND.
04:28,"SO HE RETURNS HOME, AND HE IS"
04:30,THEIR STUD RIGHT NOW BECAUSE
04:32,"JONAS GRAY, THEIR OTHER RUNNING"
04:34,"BACK, IS INACTIVE TONIGHT."
04:36,SECOND DOWN AND 8.
04:39,AND HERE'S BLOUNT.
04:42,AND BLOUNT GETS IT UP TO THE
04:43,35-YARD LINE.
04:44,WRIGHT MAKES THE DEFENSE.
04:47,THE SEATTLE DEFENSE BECOMING
04:50,LEGENDARY RIGHT NOW.
04:51,THEIR RANKS THIS YEAR -- FEWEST
04:53,"POINTS ALLOWED, FEWEST YARDS"
04:55,"ALLOWED, THIRD AGAINST THE RUSH,"
04:57,TOPS AGAINST THE PASS.
04:59,AND THEY'VE BEEN DOING THIS FOR
05:00,THE LAST THREE SEASONS.
05:05,THIRD AND 6.
05:06,"DAN QUINN, THE DEFENSIVE"
05:07,"COORDINATOR, WHO IN THE NEXT 36"
05:09,HOURS OR SO WILL BE ANNOUNCED AS
05:11,THE HEAD COACH OF THE
05:13,ATLANTA FALCONS.
05:14,BUT FIRST THINGS FIRST FOR HIM
05:16,"HERE, AS NEW ENGLAND COMES UP"
05:17,SPREAD OUT.
05:20,FIVE RECEIVERS.
05:22,PLAY CLOCK IS DOWN TO :02.
05:24,THIRD AND 6.
05:25,BRADY ABLE TO SURVEY.
05:27,THROWS LOW AND INCOMPLETE.
05:28,"SO THEY GOT ONE FIRST DOWN, AND"
05:30,NOW THEY'LL HAVE TO PUNT.
05:32,BYRON MAXWELL COVERING VEREEN.
05:34,AND SEATTLE WILL GET THE BALL.
05:37, ONE OF THE THINGS THAT'S SO
05:38,IMPORTANT FOR THE PATRIOTS IN
05:40,THIS GAME IS TO FORCE THESE
05:42,DEFENSIVE ENDS TO RUN THE LOOP.
05:44,GO ALL THE WAY AROUND TOM BRADY
05:47,AND THEN TRY AND SECURE IT UP
05:49,FRONT TO MAKE SURE THAT
05:51,TOM BRADY CAN STEP UP.
05:52,"THAT TIME, A LITTLE ANTSY IN THE"
05:54,POCKET.
05:54,GOT RID OF IT QUICKLY.
05:56,MISSED THE THROW.
05:59, RYAN ALLEN.
06:01,THE LEFT-FOOTED PUNTER.
06:04,"GOOD, HIGH, DEEP PUNT."
06:05,FLAG IS DOWN AS IT'S TAKEN AT
06:07,THE 15-YARD LINE.
06:08,JERON JOHNSON CAME IN AND MAY
06:10,HAVE RUN INTO THE KICKER.
06:12,"IF HE RAN INTO THE KICKER, IF"
06:14,"IT'S THE 5-YARD VARIETY, IT'S"
06:15,STILL NOT GOING TO BE A FIRST
06:17,DOWN.
06:17,BILL VINOVICH WILL MAKE THE
06:19,CALL.
06:19,"IF THAT'S A 5-YARD PENALTY, IT"
06:21,WOULD BE FOURTH DOWN AND 1.
06:22,ROUGHING THE KICKER IS A FIRST
06:24,DOWN.
06:26,BIG CALL HERE.
06:27, I THINK HE GOT HIS PLANT
06:29,FOOT.
06:29, RUNNING INTO THE KICKER.
06:31,"KICKING TEAM, NUMBER 23."
06:32,5-YARD PENALTY.
06:34,STILL FOURTH DOWN.
06:35," ALL RIGHT, SO THAT'S THE"
06:36,"GARDEN VARIETY, AS IT WERE,"
06:40,WHICH MEANS THAT THE LINE OF
06:42,SCRIMMAGE WILL NOW BE THE
06:43,40-YARD LINE.
06:44,AND ANOTHER LOOK HERE.
06:47," THE RULE IS, IF YOU HIT THE"
06:50,PLANT LEG -- THIS LEG -- THAT'S
06:53,SUPPOSED TO BE 15 YARDS.
06:55,I DON'T SEE RUNNING INTO THE
06:57,KICKER RIGHT THERE.
06:58, FIRST DOWN.
06:59,TIME-OUT.
07:04," WELL, JERON JOHNSON, HE CAN"
07:06,"SMILE RIGHT NOW, BUT HE GOT AWAY"
07:07,WITH ONE.
07:08,"HAD IT BEEN ROUGHING THE KICKER,"
07:10,IT WOULD HAVE BEEN A 15-YARD
07:11,PENALTY AND A FIRST DOWN.
07:12,"HERE IT IS AGAIN, CRIS."
07:13, SO THE NONKICKING LEG --
07:15,"WHEN YOU HIT THAT LEG, THAT'S 15"
07:17,YARDS AND AN AUTOMATIC FIRST
07:19,DOWN.
07:19,WITHOUT QUESTION.
07:22,"BILL VINOVICH'S CALL, AND HE"
07:23,MISSED IT.
07:24, SO IT WOULD HAVE BEEN FOURTH
07:26,AND 1.
07:26,NEW ENGLAND DECLINES THE
07:27,PENALTY.
07:28,THEY'LL TAKE THE PLAY.
07:29,THAT WAS A 49-YARD PUNT.
